"themes","primary_theme","engagement","confidence","reasoning"
"advisory administrative","advisory administrative","consumer","medium","""Events planning, accountability in government"" describes facilitation and administrative functions rather than hands-on data work."
"data collection","data collection","producer","high","The words ""collect a number of data related to employment regularly"" name routine data capture about a defined population."
"data collection; decision making","data collection","multiple","high","""We collect certain data's related to our licensees"" leads, with the data used ""to determine"" compliance."
"analysis and reporting; decision making","analysis and reporting","analyst","high","Leads with 'data analysis, data reporting to provide reports' before mentioning 'decision making'."
"forecasting projections; decision making","forecasting projections","analyst","high","The phrase 'Monitor and forecast stock and demand of cash' is forward-looking predictive analysis, with 'make sure cash is always available' as the decision it serves."
"analysis and reporting; decision making","analysis and reporting","analyst","high","""process all data"" and ""create actionable reports"" drive analysis and reporting, with reports used to assess government effectiveness."
"advisory administrative","advisory administrative","consumer","high","""Facilitate and advise investors"" names facilitation and advisory work rather than hands-on data handling."
"analysis and reporting; forecasting projections; systems and infrastructure","analysis and reporting","multiple","high","Response names 'data interpretation, data analysis and reporting' alongside 'forecasted projections' and 'data cleaning'."
"research work","research work","analyst","high","The phrase 'Doing research' frames the data work as research activity."
"research work; analysis and reporting","research work","analyst","high","Leads with 'Research work' alongside 'data evaluation and report writing'."
"analysis and reporting","analysis and reporting","analyst","high","The response names 'analysis and reporting' directly."
"systems and infrastructure; decision making","systems and infrastructure","handler","high","Response centers on managing servers, databases, backups, security and storage, with a secondary mention of enabling staff to make informed decisions."
"data collection; analysis and reporting; research work; decision making","data collection","multiple","high","Leads with 'Collect data,' then 'report to Management,' 'data analysis,' and 'survey.'"
"decision making","decision making","consumer","high","The phrase 'we use data to make decisions' names decision making as the sole theme."
