"role","seniority","function_type","confidence","reasoning"
"Marketing Executive","officer","administrative","medium","""Marketing Executive"" is a standard professional marketing role where ""Executive"" denotes a staff-level position, not a C-suite one, and marketing is administrative/operational work."
"Employment And Logistics Officer","officer","administrative","high","""Officer"" is standard professional staff, and ""Employment And Logistics"" is operational/administrative work with no technical domain."
"Authorization Officer","officer","administrative","medium","""Officer"" with no seniority modifier is standard staff, and ""Authorization"" points to an operational/approval administrative function rather than a technical domain."
"Investment Analyst","officer","technical","high","""Analyst"" with no seniority modifier is standard professional staff, and ""Investment"" analytical work is hands-on financial analysis."
"Currency Operations Assistant","junior","administrative","medium","""Assistant"" signals a supporting entry-level role, and ""Currency Operations"" is operational rather than technical work."
"Senior Analyst","senior_specialist","technical","high","""Senior"" marks an experienced individual contributor and ""Analyst"" is hands-on analytical work."
"Senior Investment Analyst","senior_specialist","technical","high","""Senior"" marks an experienced individual contributor, and ""Investment Analyst"" is hands-on analytical work."
"Senior Statistician","senior_specialist","technical","high","""Senior"" marks an experienced individual contributor and ""Statistician"" is hands-on statistical work."
"Assistant Research Officer","junior","technical","medium","""Assistant"" marks a supporting entry-level role, and ""Research Officer"" names research methods work."
"Senior Dental Registrar","senior_specialist","technical","high","""Senior"" marks an experienced individual contributor and ""Dental Registrar"" is hands-on clinical practice with no line management named."
"Director","senior_management","unclear","medium","""Director"" implies running a department or division but names no domain, so the function is not inferable."
"Senior System Support Officer","senior_specialist","technical","high","""Senior"" marks an experienced individual contributor and ""System Support"" is hands-on IT technical work."
"Director Market Conduct and Financial Inclusion","senior_management","administrative","high","""Director"" runs a division and ""Market Conduct and Financial Inclusion"" is a policy/regulatory domain, not a technical one."
"Statistician","officer","technical","high","""Statistician"" with no seniority modifier is standard professional staff in a hands-on statistical domain."
